palabra1	palabra2	compuesta	Clase
grilled	sandwich	grilled sandwich	0
chocolate	cake	chocolate cake	0
cream	cheese	cream cheese	0
grilled	cheese	grilled cheese	0
cake	cream	cake cream	0
chocolate	cream	chocolate cream	0
pork	rice	pork rice	0
shrimp	rice	shrimp rice	0
burger	cheese	burger cheese	0
crab	cake	crab cake	0
cheese	pizza	cheese pizza	0
sauce	cheese	sauce cheese	0
cream	sauce	cream sauce	0
pork	sauce	pork sauce	0
cream	chocolate	cream chocolate	0
pork	sandwich	pork sandwich	0
cream	cake	cream cake	0
grilled	shrimp	grilled shrimp	0
shrimp	sauce	shrimp sauce	0
pork	egg	pork egg	0
shrimp	salad	shrimp salad	0
pork	cheese	pork cheese	0
cheese	sauce	cheese sauce	0
rice	sauce	rice sauce	0
beef	sauce	beef sauce	0
steak	egg	steak egg	0
pork	beef	pork beef	0
