"","photo_id","business_id","caption","label","length","stars","len_word"
"1","--3vR19cePIkGQBgcLsQkw","If6Bku2jkgPiikR6HBu-XQ","big steak omelette","food",18,2.5,3
"2","--4bmjgcXG3lcZZYJPT54Q","wL5yGvlL1zXZ4EPJ8d0hIA","rice burger","food",23,4,2
"3","--9fNU-8m06bbXM3jIha_w","ICdoTODBaprN0UReete9VQ","chocolate cake endoedible","food",58,4.5,3
"4","--DpaHUw76HtjHogXfLXnA","SJU-jRAZS0cXoBGUjX5GUg","crab fried rice","food",15,4,3
"5","--n9cI3ZyfJ17TlriF4Ayw","eUuKXhloFVHdQsLdodcLbw","parsley fry house special sauce","food",38,4,5
"6","-04fvUxG0taAAASsUZrsuw","HQcel0uvg7N7KfhHJChfSQ","white vega roll rainbow","food",41,3.5,4
"7","-082fk22b2Bp8sReYWVpyQ","33Tr0eRki1Yamzleu4GMdw","french cinnamon roll","food",47,4.5,3
"8","-0C_ozcnbg0jzDWUnJkMMg","Kn8nZztS41bKfSOHedqX3g","fresh yummy","food",16,4.5,2
"9","-0JodhHzxFIIs1kp5RYN-Q","3cAy1gxlprn1ue0q3L_ziw","sesame paste cold noodle","food",48,3.5,4
"10","-0TySmw68pq5rihuwRyv2A","fuW-VCynECpKukrm-9nxdg","drunken fish taco","food",18,3.5,3
"11","-0cLSwqBZH9tGCbAf9D44w","Hv3iuAYsoF2FjH0ND9rIKg","raspberry mango cake","food",90,4,3
"12","-0eje89y-_EACmitfJxBmQ","LPCFfrQow0kl7EABuM7VDA","combo sushi roll","food",26,3.5,3
"13","-1LHZQjiA-8Cu-l52qkqwA","g9CkaSV302relUaOnXczyA","artisan grilled chicken sandwich extra meal","food",60,1.5,6
"14","-1SmdOKspfVuaPqIO5C23A","GfoCqO0yYiXxTjkyDvSeSw","steakhouse burger beef cooked charcoal","food",99,3.5,5
"15","-1T41Fj-Tit55MbH3tm6YA","zcScEL0WEdFkROcnz5379g","bang shrimp corn potato spot","food",128,4,5
"16","-1UZzfkMKh4ymki-ph4nOQ","HwgCbqHWaM4uWGp_A1G1nQ","curry spicy","food",44,4,2
"17","-1xYxDgNsH7tlbLLrn1zUw","9IaomgzTHXsNkZHnZGv8fg","cake","food",21,4.5,1
"18","-2ej6TLAE6YHg_dLHNTC5g","0v8icS8wOOgEDiHDCOQkZQ","chicken vegetable lunch serving","food",58,4,4
"19","-2nnds4Or-p2f6WXrGJcsA","4FEb2SzmU_l7SCQAbvW5Hg","chicken bao brunch chip","food",55,4,4
"20","-2xXD-0vQ0oN96KhMBmCHQ","2m4092MsMzEHkuxodaj6-g","shrimp dumpling","food",16,4,2
"21","-303_FjRwqvpxYi4QFTiIw","87I8ba2FKYKeXyAhiC6cLg","bowl special sunday","food",48,3.5,3
"22","-3JyCl9UzH4ZmsN9K2bRLQ","c6Bl52cfr5O57DdcLNRxOQ","rib salad","food",20,2.5,2
"23","-3aISS7LOp307V2_6CX_Vw","SqVIolLCBmQYyKeai3pCTg","quarter pounder cheese extra meal","food",55,1.5,5
"24","-3fpKB1LQM-kGQUF-xtYvw","XydKWBaKYDO2BFXs8pXnbg","quarter pounder cheese extra meal","food",55,2.5,5
"25","-3lEuuMwY70up9IWEuw7SQ","2weQS-RnoOBhb1KsHKyoSQ","plate shrimp ceviche sushi roll lobster","food",69,3.5,6
"26","-43E9pp-gTq7t273Zgfs8A","3FKALmSFRxaTt60y6d4R_A","yummy bbq cheeseburger pizza","food",28,4.5,4
"27","-48hPx4erhu3magEefROXg","dUffgo9Lh_Vk9TLuFR5ywg","pizza sausage pepperoni","food",47,3.5,3
"28","-4DVnZOLOXCa7iz2HwHiLQ","Wc7Hld-DTJbss8CndeIylw","burger tuna salad korean lasagna","food",55,4,5
"29","-4SWlocMvNQKn4BoMbPd7A","6fd9EIo9TAFvJLkfC7_qYA","duck egg benedict strawberry milkshake","food",45,4.5,5
"30","-4ndu8iY7ZY-8-33sgoOGw","m1Y47fK3vWCJXV3TdCn_Xw","lentil salad","food",20,3.5,2
"31","-5I_DCvVDDMHmzjrGLVI9w","VSNUFYBQ_wOFmRXZ8SeQ4w","potato pancake","food",15,4.5,2
"32","-5K1XByWx_IlEyM9vLRSfQ","T_YWS3Rp7-iu69VS5jcQPg","sashimi salad","food",13,4,2
"33","-5Z_6XZsFkfvXcqUFGvqsA","a1KXovXPdeDurOrER4ST6A","cold soba noodle miso soup","food",29,4,5
"34","-5db2I4ZV44HTUm6J3kdDg","wtftZecNakP5WKwi-k0cYg","teriyaki chicken bento box","food",26,4,4
