photo_id,tienda_id,caption,label,length,stars,len_word
007FeerwcQQRx7ck_xA0QA,,turf lobster filet mignon deliciou table,food,100.0,3.5,6.0
007FeerwcQQRx7ck_xA0QA,,turf lobster filet mignon deliciou table,food,100.0,3.5,6.0
0_0iA9k99QCZJuazdMyGIA,,salad,food,10.0,3.5,1.0
00_lq0d8EQOPkRsKpE7g9g,,californium style burger italian beef combo,food,62.0,4.0,6.0
00_lq0d8EQOPkRsKpE7g9g,,californium style burger italian beef combo,food,62.0,4.0,6.0
00tYEJE1dp7-wyNZ7vG9Pw,,torched salmon sushi,food,28.0,3.5,3.0
00tYEJE1dp7-wyNZ7vG9Pw,,torched salmon sushi,food,28.0,3.5,3.0
012RXHbE95eWfazSLd014g,,chicken rice,food,29.0,3.5,2.0
01BKoQTS4kqxBzkPnvpDvg,,lobster ball,food,13.0,3.5,2.0
01KATRq2RIu7NzNkSyTLtQ,,bbq meat,food,39.0,4.5,2.0
01KATRq2RIu7NzNkSyTLtQ,,bbq meat,food,39.0,4.5,2.0
01nnVe301f23k7TSYedjsg,,turkey burger,food,13.0,4.0,2.0
01TytvtUolCZ3mb3Lnhnrw,,grilled chicken taco,food,21.0,4.5,3.0
022VB-SyUQP_QFBZRp_gnw,,gluten free cooky raspberry chocolate ice cream,food,69.0,4.0,7.0
022VB-SyUQP_QFBZRp_gnw,,gluten free cooky raspberry chocolate ice cream,food,69.0,4.0,7.0
02QX3fdk019K4QTHttlo_Q,,steak salmon bento,food,20.0,4.5,3.0
02QX3fdk019K4QTHttlo_Q,,steak salmon bento,food,20.0,4.5,3.0
03E7KsKSTLr_SQ7Yty0XMg,,beer cheese nacho,food,28.0,3.0,3.0
03hOVUzhYXqsQU_TALNFwQ,,special rib cheese ball,food,76.0,4.0,4.0
03hOVUzhYXqsQU_TALNFwQ,,special rib cheese ball,food,76.0,4.0,4.0
03l5TnJLC-MRFiMbcxBUqQ,,cake,food,17.0,3.5,1.0
040VssZlSrjkQIRoWl6okw,,chicken burrito mild sauce hot deliciou,food,94.0,3.5,6.0
-04fvUxG0taAAASsUZrsuw,,white vega roll rainbow,food,41.0,3.5,4.0
04mplD8XNUCiFtDC4bVFAQ,,toro fatty tuna,food,27.0,4.5,3.0
04SmHE-GRRcwfZq63omAzQ,,thai fried rice chicken,food,25.0,4.0,4.0
04ZVG5M2C2bBuzomywOeoA,,pork chop sweet potato fry,food,33.0,4.0,5.0
04ZVG5M2C2bBuzomywOeoA,,pork chop sweet potato fry,food,33.0,4.0,5.0
053JQh7XdJNCFTCMUHWgDQ,,noodle minced pork peking sauce,food,55.0,3.5,5.0
05A8Dlpj5EjIzwFCE9Ks1Q,,short rib benedict,food,41.0,4.0,3.0
05c6Xl_OrK51YQAGXNsvZA,,chicken fried rib,food,38.0,3.5,3.0
05Rme0D-DGeRTvV-1X0s8Q,,egg pulled pork mushroom shot mango smoothie fresh fruit,food,92.0,4.5,9.0
05Rme0D-DGeRTvV-1X0s8Q,,egg pulled pork mushroom shot mango smoothie fresh fruit,food,92.0,4.5,9.0
06C1SYI1_3zvCOBDUleS6A,,duck pork belly bun,food,30.0,4.0,4.0
06_fuW7ltSQjyPEqSoIxQw,,meat sandwich,food,52.0,3.5,2.0
06_fuW7ltSQjyPEqSoIxQw,,meat sandwich,food,52.0,3.5,2.0
06kDpuO3zy1eAK3OBZTonA,,pineapple fried rice,food,20.0,4.5,3.0
06u4cnk5ws83FmV218HE9A,,food cake,food,17.0,4.0,2.0
06W8PdGrVvsQmC4N4pZjCA,,rainbow roll,food,18.0,4.0,2.0
06YGBhPjn0A5niMZYNGWDw,,sunny egg hash crispy porchettum onion hot sauce,food,92.0,4.5,8.0
072x0zbqNBDYubOAlqH64Q,,mango spice crusted tuna steak steamed halibut chile carrot,food,74.0,4.0,9.0
072x0zbqNBDYubOAlqH64Q,,mango spice crusted tuna steak steamed halibut chile carrot,food,74.0,4.0,9.0
077p2c-KSGh_dXMmCjVOkw,,beef noodle soup vietnamese flavor,food,85.0,4.0,5.0
077p2c-KSGh_dXMmCjVOkw,,beef noodle soup vietnamese flavor,food,85.0,4.0,5.0
077_zs_ZuopFvOrg8TTWjw,,cream warm butter cake,food,48.0,4.5,4.0
077_zs_ZuopFvOrg8TTWjw,,cream warm butter cake,food,48.0,4.5,4.0
07A5uSwHuVzZo_2gGKfHHg,,beef sashimi pork belly appetizer yummy,food,50.0,4.0,6.0
07A5uSwHuVzZo_2gGKfHHg,,beef sashimi pork belly appetizer yummy,food,50.0,4.0,6.0
07D2tFemfdudLDq8yJ3GEg,,purple potato red chocolate chip monster cookie,food,84.0,4.5,7.0
07D2tFemfdudLDq8yJ3GEg,,purple potato red chocolate chip monster cookie,food,84.0,4.5,7.0
07r8ORRUEbDyQcYjhf8EeQ,,vanilla plu chocolate almond,food,60.0,4.5,4.0
07tJm8AYmOntV3vcXBRKyA,,bread,food,10.0,4.5,1.0
080HSPBmwqt7bkMKJT294g,,tasty sandwich,food,35.0,4.0,2.0
-082fk22b2Bp8sReYWVpyQ,,french cinnamon roll,food,47.0,4.5,3.0
-082fk22b2Bp8sReYWVpyQ,,french cinnamon roll,food,47.0,4.5,3.0
