photo_id	caption	label	length	len_word
hiak53bZm_sJtr054shMRw	cake cream cheese	food	68.0	3
J2lpMP-z4wf6IJS_FWu3ww	shrimp	food	44.0	1
cAAjSQ6D-X-pv_dOkSS8mw	cake sauce	food	132.0	2
Knx1zsv_ZkYL08s41nnirw	shrimp	food	14.0	1
JaQ299TCw9IZ2pRxl_3vyg	steak	food	59.0	1
ICo0Z6Xl7dE1i5T1iAoZHQ	steak	food	19.0	1
WWH42mAYyh3-zljeJWl7uw	beef	food	42.0	1
-3tGiP7gXUsH2tOmpEChDg		food	36.0	1
GVILysRtHGLOhq1T21nT_Q		food	36.0	1
YvciPNUEMtibg8uDvT8qMw	chocolate cake	food	43.0	2
YhlMTe83zJGgJADSNFlNVA	salad	food	21.0	1
uGaBtMgK5jVLpjO1jO3RlA	cake	food	54.0	2
nSovUXH70OATm7esg2NshA	sandwich	food	62.0	1
d09lhQEMp3w18biTPqvQSw	chocolate	food	52.0	1
8ATvNUDthNgbKafZRKRP0g	sauce	food	30.0	1
kO72p118LYH9o_lklB-Gdg	egg	food	79.0	1
vFYIwiTXYKp4FFWwE-HqLQ	beef	food	72.0	1
5KHSTjkqsSgrGEZLJ9VxzA	sandwich	food	15.0	1
t1yyaGXvkmsL3PslE-aMDw		food	70.0	1
JoXAfywjEMpnLeplxkjQog	cake	food	62.0	1
S0jebWi5JACFGNUmkOg8lg		food	59.0	1
4gikLp1tfb6Q89ywDyCxgA	burger	food	55.0	1
v2L6d7B9AtFB8heQT148TA	salad	food	18.0	1
QtJ12E8c9bbAkLThCn2QAQ	cream	food	34.0	1
K71bOzM6-fXsIX9VSR6rIg	cake	food	12.0	1
puKD5tVg3odV37geIIttBw		food	31.0	1
e-bIZj_pK9KWSqAx4zRP6Q	burger	food	35.0	1
5x8nILX6MnWRpbgVKirOVQ	shrimp	food	27.0	1
fAudRhPikhqstDU0Ft1CXw	cake cream	food	84.0	2
bvqBV81ITO7MqpUHbrRcTg	steak	food	12.0	1
jT5fG10meBYaNX7DAbkcgA	shrimp	food	23.0	1
dsrYDfjPW1heDkTnn6wSag	beef	food	14.0	1
pOR31ANvhesQxqIa0NiY3g	beef	food	128.0	1
bDSOxuC4Fe6x7SKuMttSmw	grilled	food	32.0	1
xciRqA9RxlTrVGzTW8kyaA	grilled	food	116.0	1
5aKMku0D99lYCmHXEnRjHw	sandwich burger salad	food	116.0	3
ixvo22pWC7y6vjeOoKUypQ		food	40.0	1
NsW740qr5bf5pTSLqo5v1A		food	127.0	1
le_HUP2aGegQn3PIAHi-7w	cake	food	34.0	1
tHCzsi7YKIiXxkpoj-ZulQ	grilled	food	42.0	1
TpOWie8SJXpBbvDqlReciA	pork	food	54.0	1
g_-BWfIjJDUHfZxhED3u8A		food	60.0	1
_xSUhjGDIEHpgagNWbShxA	sandwich	food	62.0	1
LeO3RovcNzvRZ3DXj94VjQ	cheese	food	106.0	2
k5TEsMeh2cDb4ftszp-UuQ	cake	food	65.0	1
2HYwXLRWcBArSpg7V3bwuQ		food	23.0	1
Pfc6BfDK8ribKwZVyA0DGA	steak	food	32.0	1
XGKwKUgcUYIY6jwcePAJHA	sandwich	food	43.0	1
ZOikngeTAD1gnLNm1K_qAQ	cream	food	106.0	1
ACWLuvcbuwIODUkv4haprA	sandwich	food	39.0	1
ywod62IAQ74ZY-OMkl9q_Q	burger cheese	food	25.0	2
3d4SSdKkFNJfOZlGOWiFZA	salad	food	69.0	1
diq_7BuKLpXhDfSl9JP5bg	egg	food	28.0	1
GNYpUp-U9fBAyv3Th1oetw	pizza	food	22.0	1
fLNUSOBQI_qY3RxU9vORKQ	egg	food	12.0	1
T82rLOj920wxSgBiyW1jtg	egg	food	75.0	1
czdPp8XXuDzBUbSQZkOBpg		food	14.0	1
Z5nD7d3jTkI6jHS1MVQzEQ	burger	food	14.0	1
2QUDNp5mjMghR69zXhJtfA	salad	food	37.0	2
D2HKf7hpdoy14UtOE50VFw	beef cheese rice	food	85.0	3
uvcsfVj9tEWEB5wkSlCHzw	shrimp	food	20.0	1
OLsnuKikjHGjmmmWLPfQ9w		food	98.0	1
Eyrk5h4PG-4S2iJDjIgRkA	cream	food	19.0	1
AyNj0-qHxJeuZXcNSmJvPA	sandwich	food	28.0	2
dANeZNugISH0tXu00bIIoQ	sandwich	food	39.0	1
QGzRGLn32Md2tgIw9FmyDQ	salmon	food	66.0	1
vok2L1oxJYRNObhUPAffDA		food	21.0	1
PVBKxPxxtHtbihDOEzFiIA	cake cream cheese	food	93.0	3
lSYOdxCgauNEWYWQdI_9kg	sandwich	food	61.0	2
39vvErPgC_bQ_QpGASD8rQ		food	23.0	1
83Cn2zyqgpNG1ubFzZ9CzA		food	36.0	1
hwp833YEkmAwGCyY_HqEPw	cheese	food	21.0	1
FuJM0Pken0C94_WTHdqtFA	grilled beef	food	17.0	2
rX5YDqfMtEHy1IIIGOSmSw		food	36.0	1
yeTQujgqnSkEeJPGRfSqAA	egg	food	22.0	1
9QnyRZT8UvEGhG9UimD9zA		food	37.0	1
xURxvWTW95ORObKaRIUFCQ	pork shrimp	food	106.0	2
sFDpvkduXB7sOmSgncx01w	rice	food	17.0	1
ihMYEsQsyf619D-JqFdLCQ	steak	food	13.0	1
_mYOzfOyUREDJPk7fxEIPA	cake cheese	food	15.0	2
d1cotWkvVkSqLSYKMpZR9w	egg	food	101.0	1
FHqcmhWaBzJw6RHvjGly2g	salad	food	24.0	1
eakgl_Fln7yFnNb6CeURvA	cake	food	21.0	1
