photo_id,business_id,caption,label,length,stars
002gqWfVal1D2DT6oA-bVQ,qnZzSC4TKen19Gz9nyKCvw,"12oz. Boneless Ribeye | Grilled to perfection with your choice of spice, sauce, and toppers.",food,92,3.0
002GtTSYyQ4swIZyEnfF5A,9km51KaQujxsSgdaG9gYSw,"The Most Yummy Tarts: Chantilly, Guava, Salted Caramel Coffee, and Ube",food,70,4.0
007FeerwcQQRx7ck_xA0QA,nsNONDHbV7Vudqh21uicqw,Surf and turf with 1.5lb lobster and 7oz Filet Mignon. Delicious and lobster was cracked table-side!,food,100,3.5
007iKSSCd3hwRwAcE2MIcA,mspZuHQ8rVXpyVMqQIKw_A,Season Special Seafood Wafu Pasta,food,33,3.5
00b_U2evhgjAdVf-Idxmeg,W-3Sy3fy85mQdd0ZNFKIiw,Double Crunch Bone-In Wings,food,27,2.5
0_0iA9k99QCZJuazdMyGIA,RXaxKQJtExnRZX1inf8Nyg,Cobb Salad,food,10,3.5
00ief8P3q8t0_6mvnBE9dQ,hR4-JdUZI63bv5pa_LIUOw,Enchiladas Rojas,food,16,4.5
00_lq0d8EQOPkRsKpE7g9g,C6uYx1g7TxmuzjfNtxK86w,Freddy's Single California Style Burger and Italian Beef Combo,food,62,4.0
00MKMHxB8CbSmOZUlLoJJg,hihud--QRriCYZw1zZvW4g,The spread,food,10,4.5
00tYEJE1dp7-wyNZ7vG9Pw,CfxVkwEJk1NAqgqMSesLzA,Torched salmon pressed sushi,food,28,3.5
012RXHbE95eWfazSLd014g,EzC51yOetmrju2DPP72iRA,Chickens karage (sp?) on rice,food,29,3.5
01BKoQTS4kqxBzkPnvpDvg,9_OPjioLbD9Q_zAeHfv6kw,Lobster balls,food,13,3.5
01B-UoK9o3-v2E4JpVrVhw,KVsv8wRGnLX8QWoNZKNMQA,Iberico Tataki - yum,food,20,4.0
01cUOQIgkjygsRKfLpGd4w,3QcTqsdxQBlSndBdMJBRhQ,Wings were,food,10,3.5
01KATRq2RIu7NzNkSyTLtQ,5jJ09QrQyrVx7aPEdZkiCw,Arizona BBQ Company flame kissed meats!,food,39,4.5
01NN8Rl0aY_d3nFpCsVGfg,Q8GBjqGjamI3b2ZaPQNa_Q,Baklava,food,7,4.5
01nnVe301f23k7TSYedjsg,S-egzF2c7bRpCUNbZqV8dg,Turkey burger,food,13,4.0
01PnMJo0qhP7OE4pXW1Bcg,OETh78qcgDltvHULowwhJg,Signature sticky toffee pudding,food,31,4.0
01TytvtUolCZ3mb3Lnhnrw,o60ONA3T9gzCX6_8LjWB8w,Grilled chicken tacos,food,21,4.5
01zuR0UYMU4mVLzzekq3KQ,J5JzAUd2wzyArZ-qHT0A4A,Grilled Octopus,food,15,3.5
021CtF65D-UZ-Zsnu1ut-w,vn5Ebwy-IdtJ6PQE6y7vaA,Sizzling Sisig,food,14,3.5
022VB-SyUQP_QFBZRp_gnw,ovnqQaQ8BsPgDoJ4nlYBUw,Gluten free cookies with dairy free raspberry and chocolate ice cream,food,69,4.0
02Np5TP10HyBX7NfNRkWKg,wPGjrXl1W0Bb8m2L7nBAew,Bun bo hue,food,10,4.5
02QX3fdk019K4QTHttlo_Q,w6zW6gIyg1sI5V6Wag_SYg,Steak & Salmon Bento,food,20,4.5
02xn2wfVFwU49oCE3z_nRA,Hp8k_RpSIWSeJguyaQpfIw,Peanut butter,food,13,4.5
03E7KsKSTLr_SQ7Yty0XMg,s1av6TDj7npTFBH8HEz-Rw,Beer cheese nachos! Amazing!,food,28,3.0
03hOVUzhYXqsQU_TALNFwQ,3Qe4M3JNs7yIRXP13g-NYA,"Thursday Special, $14 Ribs, Mac & Cheese Balls and Shiner Bock Draft or Soda",food,76,4.0
03JusWotXwa9gEHoI09-aw,bRAQFWRxN4lh9WogWxLJ9g,Chilean Sea Bass,food,16,4.0
