||Count
ice|cream|625
pork|belly|294
fried|chicken|285
fried|rice|271
french|toast|249
chicken|sandwich|195
sweet|potato|191
extra|meal|179
short|rib|171
chocolate|chip|157
pad|thai|146
chicken|salad|144
chicken|waffle|142
pulled|pork|142
green|tea|141
chicken|wing|137
grilled|chicken|129
carne|asada|118
cream|cheese|111
peanut|butter|109
scrambled|egg|99
fish|taco|97
chocolate|cake|97
lunch|special|96
egg|roll|94
sandwich|extra|92
spicy|tuna|91
crispy|chicken|89
goat|cheese|87
crepe|breakfast|86
egg|benedict|86
noodle|soup|85
spicy|chicken|84
filet|mignon|82
smoked|salmon|80
black|sesame|79
potato|fry|77
bbq|pork|77
mashed|potato|76
gluten|free|76
lobster|roll|75
crab|cake|74
hash|brown|73
olive|oil|72
crab|leg|72
sticky|rice|72
shrimp|tempura|72
carrot|cake|72
salted|caramel|69
vanilla|ice|69
white|chocolate|68
black|bean|67
greek|salad|67
double|cheeseburger|67
caesar|salad|66
pork|chop|65
grilled|cheese|63
pink|box|61
bone|marrow|60
bread|pudding|60
box|doughnut|60
poke|bowl|59
chicken|fried|59
green|bean|59
dark|chocolate|58
red|onion|58
dragon|roll|58
fish|chip|58
rice|noodle|58
fried|egg|58
red|bean|57
almond|croissant|56
soft|crab|56
cinnamon|roll|55
avocado|toast|55
chicken|wrap|54
poached|egg|54
tre|lech|54
cheese|fry|54
deviled|egg|53
chicken|breast|53
chip|cookie|52
lamb|chop|52
fried|steak|51
breakfast|sandwich|51
quarter|pounder|50
cheese|extra|50
pounder|cheese|50
pork|bun|50
buffalo|chicken|50
hot|sausage|50
beef|brisket|49
pan|fried|49
salmon|roll|49
seared|scallop|49
bowl|chicken|48
green|onion|48
day|breakfast|48
sausage|hash|48
spicy|salmon|48
chicken|taco|48
big|breakfast|48
sweet|sour|48
salt|pepper|48
artisan|grilled|47
pan|seared|47
pork|rib|47
chicken|rice|47
hot|dog|47
snack|side|46
steak|egg|46
lobster|tail|45
egg|hot|45
biscuit|scrambled|45
breakfast|biscuit|45
cooky|cream|45
buttermilk|crispy|44
grilled|pork|44
brown|rice|44
sea|salt|43
papaya|salad|43
beef|noodle|43
californium|roll|43
chicken|katsu|42
potato|salad|42
milk|tea|42
maple|syrup|41
curry|chicken|41
french|fry|41
brown|butter|41
hot|chocolate|41
lettuce|tomato|41
chicken|shawarma|41
tomato|sauce|41
pork|sandwich|40
cheeseburger|extra|40
popcorn|chicken|40
burger|fry|40
bacon|wrapped|40
sour|cream|39
bbq|chicken|39
beef|rib|39
apple|pie|39
garlic|bread|39
caramelized|onion|39
chicken|quesadilla|38
strawberry|vanilla|38
duck|breast|38
shrimp|cocktail|38
rice|bean|38
black|truffle|38
honey|toast|37
breakfast|burrito|37
bento|box|37
bacon|cheeseburger|37
roasted|turkey|37
chipotle|chicken|37
sushi|roll|37
blue|cheese|37
chicken|tikka|36
chip|salsa|36
tikka|masala|36
bacon|egg|36
garlic|sauce|36
chicken|egg|36
house|salad|36
lettuce|wrap|35
chili|cheese|35
grilled|octopus|35
braised|beef|35
chicken|bacon|35
turkey|apple|35
apple|cheddar|35
smoked|bacon|35
chocolate|mousse|35
grilled|shrimp|34
zesty|nacho|34
corned|beef|34
fresh|mozzarella|34
kale|salad|34
vanilla|crepe|34
cheddar|cheese|33
butter|chicken|33
green|chile|33
italian|cheese|33
spicy|pork|33
roasted|pineapple|33
peking|duck|33
cream|sauce|33
salmon|belly|33
hot|sauce|33
miso|raman|32
tuna|roll|32
beet|salad|32
red|pepper|32
truffle|fry|32
green|tomato|32
strawberry|shortcake|32
chicken|plate|32
onion|soup|31
sushi|sashimi|31
spaghetti|meatball|31
snow|crab|31
roasted|chicken|31
cookie|dough|31
banana|chocolate|31
strawberry|pancake|31
asada|fry|31
grilled|salmon|31
braised|pork|31
strawberry|cheesecake|30
ham|cheese|30
dipping|sauce|30
lech|pancake|30
avocado|wrap|30
banana|split|30
fried|green|30
tea|ice|30
cheese|pizza|30
dry|aged|30
rainbow|roll|30
egg|avocado|30
black|pepper|30
street|corn|30
lamb|shank|29
cheese|steak|29
bone|ribeye|29
salad|chicken|29
chicken|cheese|29
duck|confit|29
tonkotsu|raman|29
egg|white|29
complimentary|bread|29
butternut|squash|29
brunch|burger|29
condensed|milk|29
french|onion|29
fried|calamari|29
cheese|burger|29
chocolate|sauce|29
cookie|monster|29
orange|chicken|29
fresh|fruit|29
mexican|tre|29
seaweed|salad|29
bacon|cheese|29
rice|cake|28
chicken|beef|28
fire|grilled|28
spicy|sauce|28
banana|berry|28
chicken|teriyaki|28
berry|caramel|28
white|rice|28
korean|bbq|28
caramel|crepe|28
cream|pie|28
smoked|meat|28
chip|cooky|28
chicken|karaage|28
bread|basket|28
roasted|pork|28
pork|rice|28
cheese|bacon|28
spider|roll|28
big|brunch|27
panna|cottum|27
chorizo|burger|27
sunday|brunch|27
tuna|salmon|27
rice|black|27
bbq|sauce|27
stone|crab|27
fried|shrimp|27
chicken|pork|27
crab|meat|27
mozzarella|tomato|27
soup|salad|27
brown|sugar|27
crispy|rice|27
chocolate|brownie|27
purple|potato|27
baked|potato|26
mango|sticky|26
beef|wellington|26
mongolian|beef|26
chicken|parmesan|26
bread|butter|26
strawberry|banana|26
egg|bacon|26
chicken|scrambled|26
quail|egg|26
bubble|waffle|26
roasted|garlic|26
cream|sandwich|26
green|curry|26
salmon|sashimi|25
chicken|pizza|25
teriyaki|chicken|25
angu|beef|25
waffle|cone|25
street|taco|25
salmon|salad|25
beef|taco|25
thai|tea|25
tomato|soup|25
red|wine|25
chicken|bowl|25
macaroni|cheese|25
beef|short|25
tuna|tartare|25
lobster|cheese|25
maple|bacon|25
avocado|salad|25
cheese|frosting|25
pepper|onion|25
chile|relleno|25
shrimp|dumpling|24
dulce|leche|24
hazlenut|crepe|24
beef|tartare|24
chocolate|hazlenut|24
margheritum|pizza|24
steak|sandwich|24
charcuterie|board|24
asada|taco|24
roasted|cauliflower|24
red|curry|24
meat|sauce|24
pepperoni|pizza|24
salsa|verde|24
sticky|toffee|24
crispy|pork|24
cotton|candy|24
classic|broccoli|24
shishito|pepper|24
drunken|noodle|24
shrimp|fried|24
toffee|pudding|23
green|salad|23
strawberry|ice|23
chef|special|23
toseeroll|pokebar|23
caprese|salad|23
garlic|shrimp|23
salmon|sushi|23
waffle|fry|23
angel|pastum|23
khao|soi|23
shrimp|scampi|23
beef|hash|23
banana|cream|23
fresh|bread|23
vega|roll|23
soup|dumpling|23
miso|soup|23
roll|spicy|23
rib|steak|23
pastor|taco|23
egg|cheese|23
chopped|salad|23
sashimi|platter|23
passion|fruit|22
spicy|beef|22
tomato|basil|22
pork|dumpling|22
shrimp|salad|22
lobster|risotto|22
graham|cracker|22
burger|cheese|22
spicy|shrimp|22
pimento|cheese|22
chicken|alfredo|22
shrimp|roll|22
thai|chicken|22
rib|salad|22
bacon|cheddar|22
pork|sausage|22
chocolate|pancake|22
apple|fritter|22
chicken|shrimp|21
seafood|platter|21
mediterranean|chicken|21
belgian|chocolate|21
crepe|cake|21
soy|sauce|21
cream|chocolate|21
crab|roll|21
white|pizza|21
atlantic|salmon|21
coconut|cream|21
mediterranean|bowl|21
beef|carpaccio|21
blue|crab|21
chicken|pad|21
rolled|ice|21
chilean|sea|21
kimchi|fried|21
roast|beef|21
bbq|burger|21
cold|noodle|21
corn|cheese|21
rice|bowl|21
fried|fish|21
sashimi|salad|20
buttermilk|bar|20
chicken|pie|20
fried|dumpling|20
cherry|pepper|20
chicken|avocado|20
cheese|curd|20
cake|vanilla|20
marinara|sauce|20
quinoa|salad|20
lemon|meringue|20
balsamic|glaze|20
fried|ice|20
fried|noodle|20
cheese|blend|20
sweet|shrimp|20
sandwich|fry|20
brownie|sundae|20
skirt|steak|20
sushi|burrito|20
hong|kong|20
cream|cake|20
fried|pork|20
cinnamon|sugar|20
rice|roll|20
garlic|butter|20
coconut|milk|20
crispy|shrimp|20
chicken|fry|20
seafood|pastum|20
shrimp|scallop|20
rice|chicken|20
minced|pork|20
cherry|tomato|20
coffee|cake|20
smoothie|fresh|20
cheese|plate|19
pork|bone|19
black|garlic|19
super|white|19
sauce|asparagu|19
traditional|pastum|19
swiss|cheese|19
chocolate|hazelnut|19
matcha|soft|19
pork|katsu|19
shrimp|taco|19
spicy|miso|19
chicken|satay|19
smoked|brisket|19
seared|tuna|19
tempura|roll|19
pork|taco|19
braised|short|19
cheese|sandwich|19
black|cod|19
pastum|spaghetti|19
sweet|spicy|19
fried|tofu|19
crab|fried|19
cheese|tomato|19
chili|sauce|19
steak|tartare|19
ribeye|steak|18
stuffed|chicken|18
chicken|curry|18
buffalo|wing|18
fresh|roll|18
egg|yolk|18
bbq|rib|18
grilled|flavor|18
half|chicken|18
tomato|balsamic|18
applewood|smoked|18
house|special|18
red|cupcake|18
tomato|salad|18
monster|cookie|18
cake|cream|18
