|||Count
chicken|sandwich|extra|92
sandwich|extra|meal|91
sweet|potato|fry|75
vanilla|ice|cream|67
pink|box|doughnut|60
grilled|chicken|sandwich|53
cheese|extra|meal|50
quarter|pounder|cheese|50
pounder|cheese|extra|50
chocolate|chip|cookie|48
crispy|chicken|sandwich|47
artisan|grilled|chicken|47
sausage|hash|brown|46
egg|hot|sausage|45
biscuit|scrambled|egg|45
hot|sausage|hash|45
scrambled|egg|hot|45
big|breakfast|biscuit|45
breakfast|biscuit|scrambled|45
buttermilk|crispy|chicken|44
double|cheeseburger|extra|38
cheeseburger|extra|meal|38
roasted|turkey|apple|35
turkey|apple|cheddar|35
vanilla|crepe|breakfast|33
strawberry|vanilla|crepe|33
tre|lech|pancake|30
mexican|tre|lech|29
chicken|tikka|masala|29
caramel|crepe|breakfast|28
berry|caramel|crepe|28
banana|berry|caramel|28
chicken|fried|rice|27
fried|green|tomato|27
chocolate|chip|cooky|27
scrambled|egg|avocado|27
tea|ice|cream|27
pan|seared|scallop|26
ice|cream|sandwich|26
rice|black|bean|26
big|brunch|burger|26
chipotle|chicken|scrambled|26
mango|sticky|rice|26
chicken|scrambled|egg|26
egg|avocado|wrap|26
beef|short|rib|25
carne|asada|fry|24
cream|cheese|frosting|24
banana|chocolate|hazlenut|24
chocolate|hazlenut|crepe|24
hazlenut|crepe|breakfast|24
spicy|tuna|roll|23
french|onion|soup|23
pulled|pork|sandwich|23
chili|cheese|fry|22
green|tea|ice|22
sticky|toffee|pudding|21
carne|asada|taco|21
chicken|egg|roll|20
beef|noodle|soup|20
mediterranean|bowl|chicken|20
kimchi|fried|rice|20
fried|chicken|waffle|20
belgian|chocolate|pancake|19
chicken|fried|steak|19
rolled|ice|cream|19
traditional|pastum|spaghetti|19
fried|ice|cream|19
braised|short|rib|19
chicken|pad|thai|19
fire|grilled|flavor|18
shrimp|fried|rice|18
crab|fried|rice|18
sesame|ice|cream|18
fresh|mozzarella|tomato|17
bbq|pork|bun|17
braised|pork|belly|17
sauteed|garlic|sauce|17
sauce|asparagu|tomato|17
asparagu|tomato|angel|17
tomato|angel|pastum|17
shrimp|sauteed|garlic|17
garlic|sauce|asparagu|17
chocolate|ice|cream|16
bean|cheddar|roasted|16
fried|chicken|sandwich|16
chicken|wrap|rice|16
wrap|rice|black|16
black|bean|cheddar|16
caribbean|chicken|wrap|16
cheddar|roasted|pineapple|16
pineapple|salsa|romaine|16
strawberry|ice|cream|16
salsa|romaine|sauce|16
cheese|blend|salsa|16
roasted|pineapple|salsa|16
district|donut|slider|16
donut|slider|brew|16
mozzarella|tomato|balsamic|15
sandwhich|grilled|fresh|15
grilled|fresh|mozzarella|15
pork|bone|soup|15
tomato|balsamic|glaze|15
banana|cream|pie|15
balsamic|glaze|pesto|15
cinnamon|spice|latte|15
apple|pie|almond|15
chicken|sandwhich|grilled|15
pie|almond|cookie|15
smoked|cheese|blend|15
caprese|chicken|sandwhich|15
pineapple|queso|blanco|15
roasted|pineapple|queso|15
blanco|smoked|cheese|15
mix|roasted|pineapple|15
mediterranean|chicken|salad|15
quesadilla|mix|roasted|15
queso|blanco|smoked|15
blend|salsa|verde|15
chicken|quesadilla|mix|15
mushroom|swiss|burger|14
avocado|garbanzo|bowl|14
stuffed|french|toast|14
black|sesame|ice|14
buttermilk|fried|chicken|14
corned|beef|hash|14
pork|belly|bun|14
smoked|meat|sandwich|14
chicken|wrap|bowl|14
parsley|butter|breadstick|13
pineapple|fried|rice|13
homemade|marinara|sauce|13
pad|thai|chicken|13
matcha|ice|cream|13
bowl|brown|rice|13
korean|fried|chicken|13
brioche|french|toast|13
apple|cheddar|sandwich|13
brown|rice|avocado|13
cowboy|bbq|burger|13
prosciutto|stuffed|chicken|13
garlic|parsley|butter|13
spicy|chicken|cheese|13
ice|cream|chocolate|13
spicy|salmon|roll|13
broccoli|chicken|alfredo|13
classic|broccoli|chicken|13
chocolate|sauce|dipping|13
soft|traditional|italian|12
classic|pastum|sauce|12
bacon|wrapped|date|12
little|dessert|treat|12
chicken|breast|topped|12
breaded|chicken|breast|12
pastum|sauce|topping|12
italian|classic|pastum|12
cheese|served|spaghetti|12
caramel|ice|cream|12
