Count,word,Ind
3732,chicken,
1722,salad,1
1684,cheese,1
1648,s,
1495,pork,1
1479,fried,
1338,beef,1
1311,chocolate,1
1272,cream,1
1251,roll,
1192,shrimp,1
1150,rice,1
1095,sauce,1
1013,good,
997,spicy,
960,fries,1
956,salmon,1
921,burger,1
898,cake,1
840,sandwich,1
838,grilled,1
810,delicious,
2,deliciou,
5,na,
5,wan,
785,ice,
766,pizza,1
708,fresh,
694,egg,1
686,bacon,
679,steak,1
627,bread,
613,bowl,
611,sweet,
608,crab,1
603,garlic,
566,w,
560,crispy,
557,breakfast,
554,red,
548,lobster,
548,soup,
539,green,
536,sushi,
531,special,
529,roasted,
529,tacos,
528,toast,
524,hot,
521,fish,
518,butter,
496,tuna,
484,best,
483,menu,
467,potato,
465,eggs,
447,black,
442,food,
441,bbq,
441,strawberry,
428,plate,
425,avocado,
421,french,
414,great,
403,wings,
402,smoked,
388,house,
385,thai,
382,onion,
382,tea,
381,amazing,
381,sausage,
381,tomato,
377,white,
375,belly,
375,pasta,
372,dessert,
369,cookie,
360,t,
358,lunch,
358,meat,
350,duck,
350,rolls,
347,mcdonald,
347,yummy,
346,taco,
344,curry,
341,lamb,
339,coconut,
337,pie,
334,banana,
332,yum,
331,meal,
330,rib,
329,corn,
328,mango,
325,mushroom,
325,new,
322,vanilla,
321,mac,
320,waffle,
310,seafood,
309,chips,
309,noodles,
308,combo,
305,baked,
300,caramel,
298,platter,
289,pancakes,
288,ramen,
287,dinner,
287,style,
286,sashimi,
284,lemon,
282,apple,
282,extra,
281,crepe,
277,n,
277,potatoes,
276,half,
275,ribs,
273,chili,
272,tofu,
271,like,
269,noodle,
268,cheesecake,
268,honey,
267,nachos,
265,love,
264,brunch,
256,instagram,
256,oysters,
254,vegan,
249,soft,
247,served,
239,tempura,
238,burrito,
237,double,
237,matcha,
237,order,
233,truffle,
231,beans,
231,flavor,
228,day,
228,mushrooms,
225,big,
224,de,
220,coffee,
218,veggie,
217,turkey,
216,pad,
216,pepper,
213,almond,
212,onions,
211,waffles,
210,free,
210,spinach,
207,wrap,
206,bean,
206,bone,
206,scallops,
205,brisket,
205,classic,
204,endoedibles,
203,happy,
203,milk,
202,short,
201,sea,
201,time,
201,try,
200,sesame,
199,cinnamon,
199,croissant,
196,topped,
195,cheddar,
195,left,
194,benedict,
194,calamari,
194,value,
192,favorite,
191,italian,
190,right,
188,chip,
186,small,
184,pulled,
182,tasty,
181,appetizer,
181,tomatoes,
179,mozzarella,
179,nutella,
178,filet,
177,bun,
176,hash,
175,box,
175,catering,
175,little,
174,cookies,
174,raspberry,
172,bar,
172,basil,
172,fruit,
172,gras,
171,cheeseburger,
171,peanut,
170,miso,
169,mini,
169,pudding,
169,seared,
168,foie,
168,parmesan,
168,stuffed,
166,deep,
165,blueberry,
165,octopus,
164,homemade,
164,peppers,
164,poke,
163,hummus,
162,dish,
162,super,
161,buttermilk,
160,vegas,
159,pesto,
158,braised,
158,chef,
158,dumplings,
157,don,
157,spring,
156,steamed,
155,com,
155,prime,
155,roast,
154,cut,
154,perfect,
153,brownie,
153,squid,
152,kimchi,
152,orange,
152,salsa,
152,scallop,
151,restaurant,
150,poutine,
149,blue,
149,pan,
148,la,
148,velvet,
147,pancake,
146,brown,
146,eat,
146,items,
145,dog,
145,oil,
145,ribeye,
144,pot,
143,eggplant,
143,katsu,
143,pineapple,
143,tart,
142,nigiri,
142,sugar,
141,dip,
141,large,
141,oz,
140,signature,
139,buffalo,
139,carne,
139,grill,
139,king,
138,salt,
137,uni,
136,donut,
136,mexican,
136,sides,
135,hour,
134,korean,
133,spaghetti,
132,mixed,
131,sprouts,
130,lettuce,
130,sliders,
130,udon,
129,latte,
129,sour,
128,birthday,
128,cauliflower,
128,japanese,
128,lime,
128,wagyu,
127,maple,
126,mussels,
126,tender,
125,chorizo,
125,greek,
125,mousse,
125,pretty,
124,beer,
124,creamy,
123,asparagus,
123,donuts,
123,inside,
123,mayo,
123,pistachio,
122,cold,
122,kitchen,
121,dragon,
121,pumpkin,
121,salted,
121,tiramisu,
120,ahi,
120,buns,
120,carrot,
120,got,
120,hand,
120,interior,
120,strawberries,
119,place,
119,ricotta,
118,size,
118,sticky,
118,tartare,
118,teriyaki,
118,vegetable,
117,cafe,
116,vegetarian,
115,goat,
114,awesome,
114,broccoli,
114,crunch,
114,taste,
113,breast,
113,ve,
113,veggies,
112,better,
112,gelato,
112,kale,
111,dry,
111,meatballs,
111,nice,
111,rosallie,
110,cooked,
110,ham,
110,risotto,
110,serve,
109,aioli,
109,baby,
109,cucumber,
108,cakes,
107,cherry,
107,toasted,
106,pink,
106,scrambled,
105,doughnuts,
105,oreo,
104,desserts,
104,soy,
104,spice,
104,takoyaki,
103,berry,
103,cupcakes,
103,dishes,
103,guacamole,
103,olive,
103,sundae,
102,warm,
101,ginger,
101,marinated,
101,service,
101,traditional,
101,wild,
100,california,
100,fire,
100,juicy,
100,original,
100,pickled,
100,prosciutto,
99,biscuit,
99,complimentary,
99,oyster,
99,wrapped,
98,available,
98,brioche,
98,bulgogi,
98,pepperoni,
97,dark,
97,huge,
97,taro,
96,bruschetta,
96,chile,
96,choice,
96,mediterranean,
96,quesadilla,
96,roast,
96,slaw,
96,vegetables,
95,clams,
95,greens,
95,meatball,
95,shell,
95,snow,
94,chop,
94,course,
94,table,
93,chinese,
93,custard,
93,d,
93,shawarma,
92,chipotle,
92,mashed,
92,mignon,
92,photo,
92,syrup,
92,walnut,
91,bagel,
91,come,
91,way,
90,bit,
90,slice,
90,whipped,
89,al,
89,arugula,
89,balls,
89,beautiful,
89,bites,
89,cupcake,
89,las,
89,mochi,
88,assorted,
88,caesar,
88,home,
88,jerk,
88,poached,
88,rings,
88,sliced,
88,wine,
87,baja,
87,balsamic,
87,board,
87,excellent,
87,famous,
87,filling,
87,glaze,
87,gravy,
87,www,
86,cabbage,
86,seasonal,
86,street,
85,close,
85,medium,
85,skin,
84,caviar,
84,club,
84,cocktail,
84,hazelnut,
83,alfredo,
83,caramelized,
83,dressing,
83,glazed,
83,golden,
83,gyro,
83,le,
83,macaron,
83,ordered,
82,asian,
82,pita,
82,sunday,
81,country,
81,peach,
80,creme,
80,cup,
80,gluten,
80,loaded,
80,look,
80,omelette,
80,pastry,
80,portion,
80,queso,
80,shaved,
80,tasting,
79,b,
79,bento,
79,cajun,
79,cod,
79,gnocchi,
79,mint,
79,pieces,
78,brussels,
78,caprese,
78,ceviche,
78,crust,
78,hamachi,
78,legs,
78,mix,
78,trio,
77,bite,
77,carnitas,
77,cilantro,
77,falafel,
77,gyoza,
77,m,
77,muffin,
77,o,
77,squash,
76,added,
76,bomb,
76,comes,
76,grits,
76,kids,
76,pear,
76,pecan,
76,piece,
76,sampler,
76,skewers,
76,stir,
75,cannoli,
75,doughnut,
75,fry,
75,jam,
75,mi,
75,popcorn,
75,yogurt,
74,mustard,
74,pho,
74,quinoa,
74,rainbow,
73,craftkitchen,
73,monster,
73,sorbet,
73,strip,
72,bao,
72,c,
72,carpaccio,
72,filled,
72,flavors,
72,light,
72,set,
71,browns,
71,loved,
71,philly,
71,ravioli,
71,seaweed,
70,aged,
70,chow,
70,citrus,
70,dozen,
70,pm,
70,toro,
69,daily,
69,dumpling,
69,enjoy,
69,eye,
69,hawaiian,
69,herb,
69,lasagna,
69,tots,
69,vinaigrette,
68,blend,
68,charred,
68,cone,
68,dough,
68,night,
68,shredded,
67,eel,
67,jelly,
67,naan,
67,old,
67,regular,
67,tres,
67,yuzu,
66,cheeses,
66,chopped,
66,combination,
66,con,
66,crisp,
66,e,
