Count	word
2205	salad
2163	cheese
1693	sandwich
1673	roll
1625	beef
1609	pork
1526	egg
1450	chocolate
1434	shrimp
1368	cream
1359	rice
1248	breakfast
1234	cake
1204	burger
1071	pizza
1054	salmon
990	taco
957	deliciou
849	potato
831	bacon
815	steak
793	dessert
707	bread
701	sausage
680	soup
672	rib
648	strawberry
629	crab
618	sushi
604	fish
597	roasted
595	tomato
592	waffle
577	lobster
543	bbq
532	avocado
518	tuna
500	meat
486	french
450	pie
448	banana
442	lunch
437	cookie
435	thai
435	smoked
430	curry
424	apple
421	lamb
420	pastum
409	tea
378	belly
377	side
360	duck
359	seafood
355	crepe
353	baked
345	coconut
340	lemon
330	corn
313	sashimi
301	raman
299	chili
221	cooky
209	endoedible
185	hummu
174	asada
163	vega
139	famou
125	asparagu
122	ricottum
118	slouse
114	californium
106	bruschettum
97	pitum
81	margheritum
77	fetum
77	tre
75	olife
73	citru
66	pastor
64	more
63	angu
62	lech
57	ye
48	burratum
39	polentum
38	tortum
36	leafe
36	texa
35	lotu
34	cottum
33	plu
32	margaritum
32	christma
30	py
29	lofe
29	chilaquile
29	breadstick
27	potsticker
27	calory
26	pasta
26	tilapium
25	generou
25	focaccium
25	santum
24	riblet
24	fajitum
24	make
23	couscou
23	kaftum
23	porchettum
23	fiestum
22	pancettum
21	macadamium
20	bonitum
20	browny
6	na
6	wan
2	gim
2	me
