palabra1,palabra2,compuesta,Clase
ice,ice,ice cream,0
pork,pork,pork belly,0
fried,fried,fried chicken,0
fried,fried,fried rice,0
french,french,french toast,0
chicken,chicken,chicken sandwich,0
sweet,sweet,sweet potato,0
extra,extra,extra meal,0
short,short,short rib,0
chocolate,chocolate,chocolate chip,0
pad,pad,pad thai,0
chicken,chicken,chicken salad,0
chicken,chicken,chicken waffle,0
pulled,pulled,pulled pork,0
chicken,chicken,chicken wing,0
grilled,grilled,grilled chicken,0
carne,carne,carne asada,0
cream,cream,cream cheese,0
peanut,peanut,peanut butter,0
scrambled,scrambled,scrambled egg,0
chocolate,chocolate,chocolate cake,0
fish,fish,fish taco,0
lunch,lunch,lunch special,0
egg,egg,egg roll,0
sandwich,sandwich,sandwich extra,0
spicy,spicy,spicy tuna,0
crispy,crispy,crispy chicken,0
goat,goat,goat cheese,0
egg,egg,egg benedict,0
crepe,crepe,crepe breakfast,0
noodle,noodle,noodle soup,0
spicy,spicy,spicy chicken,0
filet,filet,filet mignon,0
smoked,smoked,smoked salmon,0
black,black,black sesame,0
bbq,bbq,bbq pork,0
potato,potato,potato fry,0
gluten,gluten,gluten free,0
mashed,mashed,mashed potato,0
lobster,lobster,lobster roll,0
crab,crab,crab cake,0
hash,hash,hash brown,0
crab,crab,crab leg,0
shrimp,shrimp,shrimp tempura,0
olive,olive,olive oil,0
carrot,carrot,carrot cake,0
sticky,sticky,sticky rice,0
salted,salted,salted caramel,0
vanilla,vanilla,vanilla ice,0
white,white,white chocolate,0
double,double,double cheeseburger,0
black,black,black bean,0
greek,greek,greek salad,0
caesar,caesar,caesar salad,0
pork,pork,pork chop,0
grilled,grilled,grilled cheese,0
pink,pink,pink box,0
bread,bread,bread pudding,0
bone,bone,bone marrow,0
box,box,box doughnut,0
chicken,chicken,chicken fried,0
poke,poke,poke bowl,0
dark,dark,dark chocolate,0
dragon,dragon,dragon roll,0
red,red,red onion,0
rice,rice,rice noodle,0
fish,fish,fish chip,0
fried,fried,fried egg,0
red,red,red bean,0
almond,almond,almond croissant,0
soft,soft,soft crab,0
cheese,cheese,cheese fry,0
avocado,avocado,avocado toast,0
cinnamon,cinnamon,cinnamon roll,0
chicken,chicken,chicken wrap,0
poached,poached,poached egg,0
tre,tre,tre lech,0
deviled,deviled,deviled egg,0
chicken,chicken,chicken breast,0
lamb,lamb,lamb chop,0
chip,chip,chip cookie,0
breakfast,breakfast,breakfast sandwich,0
fried,fried,fried steak,0
cheese,cheese,cheese extra,0
pork,pork,pork bun,0
hot,hot,hot sausage,0
quarter,quarter,quarter pounder,0
pounder,pounder,pounder cheese,0
salmon,salmon,salmon roll,0
beef,beef,beef brisket,0
pan,pan,pan fried,0
seared,seared,seared scallop,0
sausage,sausage,sausage hash,0
spicy,spicy,spicy salmon,0
sweet,sweet,sweet sour,0
chicken,chicken,chicken taco,0
pork,pork,pork rib,0
big,big,big breakfast,0
salt,salt,salt pepper,0
bowl,bowl,bowl chicken,0
hot,hot,hot dog,0
pan,pan,pan seared,0
artisan,artisan,artisan grilled,0
chicken,chicken,chicken rice,0
steak,steak,steak egg,0
snack,snack,snack side,0
breakfast,breakfast,breakfast biscuit,0
egg,egg,egg hot,0
biscuit,biscuit,biscuit scrambled,0
lobster,lobster,lobster tail,0
cooky,cooky,cooky cream,0
brown,brown,brown rice,0
