palabra1,palabra2,compuesta,Clase
teriyaki,burger,teriyaki burger,0
special,happy,special happy,0
hot,donut,hot donut,1
love,chili,love chili,0
cheese,pancettum,cheese pancettum,1
sweet,fritter,sweet fritter,1
arugula,house,arugula house,0
chick,shack,chick shack,0
roll,parm,roll parm,0
herb,lamb,herb lamb,1
tuna,topped,tuna topped,1
tasty,strawberry,tasty strawberry,1
style,roasted,style roasted,0
hazelnut,waffle,hazelnut waffle,1
sandwich,bagel,sandwich bagel,0
cream,hot,cream hot,1
sushi,nacho,sushi nacho,0
mushroom,salted,mushroom salted,0
spice,wing,spice wing,0
rice,sun,rice sun,0
banger,burger,banger burger,1
chicken,shoyu,chicken shoyu,1
tail,raw,tail raw,0
veggie,crepe,veggie crepe,1
day,brunch,day brunch,0
bread,pastry,bread pastry,0
chili,infused,chili infused,0
strawberry,flavor,strawberry flavor,0
chip,french,chip french,0
chorizo,roasted,chorizo roasted,1
italian,lasagna,italian lasagna,1
strawberry,carrot,strawberry carrot,0
cone,coffee,cone coffee,0
spinach,bacon,spinach bacon,0
roll,shredded,roll shredded,1
rigatoni,bolognese,rigatoni bolognese,1
sea,fresh,sea fresh,0
truffle,lobster,truffle lobster,1
apple,sauce,apple sauce,1
cupcake,alcohol,cupcake alcohol,0
mix,strawberry,mix strawberry,1
burger,sweet,burger sweet,1
mediterranean,toast,mediterranean toast,1
cookie,cupcake,cookie cupcake,1
egg,walnut,egg walnut,0
combination,cold,combination cold,0
medium,thick,medium thick,0
half,pecan,half pecan,0
nutella,mousse,nutella mousse,1
enchilada,mushroom,enchilada mushroom,0
garlic,lettuce,garlic lettuce,0
potato,pie,potato pie,1
cherry,cheesecake,cherry cheesecake,1
yam,bubble,yam bubble,0
nut,toast,nut toast,0
pancake,spice,pancake spice,0
chowder,style,chowder style,0
fried,juicy,fried juicy,0
chocolate,coconut,chocolate coconut,0
sauce,pickled,sauce pickled,1
soy,potato,soy potato,0
small,cake,small cake,1
tonkotsu,pork,tonkotsu pork,1
scallop,ponzu,scallop ponzu,1
pepper,cooked,pepper cooked,0
