palabra1,palabra2,compuesta,Clase
hot,donut,hot donut,1
cheese,pancettum,cheese pancettum,1
sweet,fritter,sweet fritter,1
herb,lamb,herb lamb,1
tuna,topped,tuna topped,1
tasty,strawberry,tasty strawberry,1
hazelnut,waffle,hazelnut waffle,1
cream,hot,cream hot,1
banger,burger,banger burger,1
chicken,shoyu,chicken shoyu,1
veggie,crepe,veggie crepe,1
chorizo,roasted,chorizo roasted,1
italian,lasagna,italian lasagna,1
roll,shredded,roll shredded,1
rigatoni,bolognese,rigatoni bolognese,1
truffle,lobster,truffle lobster,1
apple,sauce,apple sauce,1
mix,strawberry,mix strawberry,1
burger,sweet,burger sweet,1
mediterranean,toast,mediterranean toast,1
cookie,cupcake,cookie cupcake,1
nutella,mousse,nutella mousse,1
potato,pie,potato pie,1
cherry,cheesecake,cherry cheesecake,1
sauce,pickled,sauce pickled,1
small,cake,small cake,1
tonkotsu,pork,tonkotsu pork,1
scallop,ponzu,scallop ponzu,1
charred,broccolini,charred broccolini,1
sausage,flatbread,sausage flatbread,1
small,ribeye,small ribeye,1
steak,marinated,steak marinated,1
cooky,italian,cooky italian,1
half,lobster,half lobster,1
huge,milkshake,huge milkshake,1
almond,olife,almond olife,1
chicken,chow,chicken chow,1
salad,sandwich,salad sandwich,1
potato,cooked,potato cooked,1
pastry,vanilla,pastry vanilla,1
chilli,smoked,chilli smoked,1
potato,fritter,potato fritter,1
chicken,indian,chicken indian,1
vinegar,green,vinegar green,1
sauce,lemon,sauce lemon,1
mustard,rosemary,mustard rosemary,1
garlic,spice,garlic spice,1
rib,caramelized,rib caramelized,1
pepperoni,slouse,pepperoni slouse,1
pastum,baked,pastum baked,1
bubble,waffle,bubble waffle,1
kimchi,fried,kimchi fried,1
tofu,cream,tofu cream,1
shrimp,olive,shrimp olive,1
pickle,lettuce,pickle lettuce,1
tiramisu,gelato,tiramisu gelato,1
chorizo,carbonara,chorizo carbonara,1
okonomiyaki,pastum,okonomiyaki pastum,1
wrapped,dog,wrapped dog,1
taco,mango,taco mango,1
spicy,bulgogi,spicy bulgogi,1
honey,lavender,honey lavender,1
special,seafood,special seafood,1
squash,pizza,squash pizza,1
lettuce,yuzu,lettuce yuzu,1
bubble,sweet,bubble sweet,1
macaron,chai,macaron chai,1
radish,daikon,radish daikon,1
crispy,thai,crispy thai,1
hollandaise,cherry,hollandaise cherry,1
onion,chimichurri,onion chimichurri,1
cauliflower,pop,cauliflower pop,1
gelato,flavor,gelato flavor,1
jelly,ball,jelly ball,1
crab,bone,crab bone,1
strawberry,drizzled,strawberry drizzled,1
flavorful,little,flavorful little,1
tea,crunch,tea crunch,1
cheeseburger,fried,cheeseburger fried,1
broccoli,sandwich,broccoli sandwich,1
mango,arugula,mango arugula,1
fried,bacon,fried bacon,1
meatloaf,avocado,meatloaf avocado,1
seed,rice,seed rice,1
chicken,stew,chicken stew,1
special,cheese,special cheese,1
sandwich,tostone,sandwich tostone,1
seared,crispy,seared crispy,1
mango,salsa,mango salsa,1
tenderloin,pecan,tenderloin pecan,1
roe,tuna,roe tuna,1
butter,warm,butter warm,1
sampler,shrimp,sampler shrimp,1
sandwich,meal,sandwich meal,1
bacon,croissant,bacon croissant,1
pork,chip,pork chip,1
rosemary,oil,rosemary oil,1
honey,orange,honey orange,1
style,fry,style fry,1
lasagna,verde,lasagna verde,1
shredded,mozzarella,shredded mozzarella,1
poutine,cheese,poutine cheese,1
sirloin,tomato,sirloin tomato,1
jalapeno,ranch,jalapeno ranch,1
ricottum,smoked,ricottum smoked,1
rosemary,chicken,rosemary chicken,1
fried,quail,fried quail,1
cheese,cooked,cheese cooked,1
quinoa,fried,quinoa fried,1
grilled,turkey,grilled turkey,1
brussel,bean,brussel bean,1
lemonade,coconut,lemonade coconut,1
caramel,fresh,caramel fresh,1
leafe,lavender,leafe lavender,1
coconut,cream,coconut cream,1
crusted,salmon,crusted salmon,1
asparagu,chow,asparagu chow,1
gyoza,beef,gyoza beef,1
yummy,juicy,yummy juicy,1
lamb,sausage,lamb sausage,1
sliced,tomato,sliced tomato,1
toast,hazelnut,toast hazelnut,1
strawberry,like,strawberry like,1
quail,marinated,quail marinated,1
cheese,sandwich,cheese sandwich,1
pineapple,sauce,pineapple sauce,1
crusted,pork,crusted pork,1
omakase,crab,omakase crab,1
baked,potato,baked potato,1
pudding,blackberry,pudding blackberry,1
lobster,poutine,lobster poutine,1
iberico,pork,iberico pork,1
green,wrapped,green wrapped,1
veggie,bacon,veggie bacon,1
cheesecake,raspberry,cheesecake raspberry,1
japanese,slaw,japanese slaw,1
grill,meat,grill meat,1
came,hot,came hot,1
candied,nut,candied nut,1
pea,carrot,pea carrot,1
sweet,chicken,sweet chicken,1
pizza,fried,pizza fried,1
tempura,baked,tempura baked,1
spicy,corn,spicy corn,1
matcha,fried,matcha fried,1
lemon,vinaigrette,lemon vinaigrette,1
pepper,cilantro,pepper cilantro,1
pork,sandwich,pork sandwich,1
matcha,hong,matcha hong,1
bacon,souffle,bacon souffle,1
bacon,turkey,bacon turkey,1
slouse,grilled,slouse grilled,1
jasmine,tea,jasmine tea,1
chicken,combo,chicken combo,1
creamy,penne,creamy penne,1
plantum,burger,plantum burger,1
fish,cream,fish cream,1
beet,cheesecake,beet cheesecake,1
spinach,mascarpone,spinach mascarpone,1
crab,roe,crab roe,1
seafood,pizza,seafood pizza,1
kimchi,hot,kimchi hot,1
pig,sandwich,pig sandwich,1
kimchi,spicy,kimchi spicy,1
clam,broth,clam broth,1
bread,filling,bread filling,1
almond,cookie,almond cookie,1
gelato,cone,gelato cone,1
mango,spice,mango spice,1
belgian,candied,belgian candied,1
daikon,radish,daikon radish,1
sashimi,roll,sashimi roll,1
roll,chopped,roll chopped,1
raspberry,pumpkin,raspberry pumpkin,1
charred,octopus,charred octopus,1
soft,mochi,soft mochi,1
lime,crema,lime crema,1
creamy,carrot,creamy carrot,1
fried,doughnut,fried doughnut,1
asian,shrimp,asian shrimp,1
warm,potato,warm potato,1
sushi,combo,sushi combo,1
shrimp,burger,shrimp burger,1
grilled,veal,grilled veal,1
green,lettuce,green lettuce,1
warm,doughnut,warm doughnut,1
vegetable,skewer,vegetable skewer,1
katsu,burnt,katsu burnt,1
bacon,sauce,bacon sauce,1
grilled,falafel,grilled falafel,1
octopus,skewer,octopus skewer,1
waffle,veggie,waffle veggie,1
smoked,trout,smoked trout,1
shrimp,sushi,shrimp sushi,1
scallion,lemon,scallion lemon,1
avocado,toasted,avocado toasted,1
blueberry,tart,blueberry tart,1
bowl,toast,bowl toast,1
chocolate,chip,chocolate chip,1
rib,meatball,rib meatball,1
raisin,cream,raisin cream,1
grilled,halibut,grilled halibut,1
raspberry,sauce,raspberry sauce,1
seafood,bowl,seafood bowl,1
caramel,apple,caramel apple,1
artisan,lamb,artisan lamb,1
cheese,omelet,cheese omelet,1
glazed,almond,glazed almond,1
cold,brew,cold brew,1
crab,fried,crab fried,1
spaghetti,carbonara,spaghetti carbonara,1
marinated,beef,marinated beef,1
bread,organic,bread organic,1
teriyaki,turkey,teriyaki turkey,1
raspberry,cookie,raspberry cookie,1
prosciutto,sweet,prosciutto sweet,1
butter,frosting,butter frosting,1
raw,walnut,raw walnut,1
steak,pork,steak pork,1
honey,bread,honey bread,1
wasabi,grilled,wasabi grilled,1
bread,butter,bread butter,1
meatball,chicken,meatball chicken,1
bun,sandwich,bun sandwich,1
filet,crispy,filet crispy,1
cauliflower,cream,cauliflower cream,1
sea,fish,sea fish,1
butter,macaroon,butter macaroon,1
lime,jelly,lime jelly,1
spicy,albacore,spicy albacore,1
tartare,crispy,tartare crispy,1
sweet,came,sweet came,1
angel,cream,angel cream,1
chicken,small,chicken small,1
dry,rice,dry rice,1
sauce,smoked,sauce smoked,1
fried,pancake,fried pancake,1
pizza,baguette,pizza baguette,1
ricottum,toasted,ricottum toasted,1
marinated,banana,marinated banana,1
sushi,korean,sushi korean,1
pie,chip,pie chip,1
matcha,mousse,matcha mousse,1
grilled,heart,grilled heart,1
vanilla,cream,vanilla cream,1
sesame,crepe,sesame crepe,1
roast,duck,roast duck,1
vega,vanilla,vega vanilla,1
rice,vegetarian,rice vegetarian,1
flatbread,sandwich,flatbread sandwich,1
bisque,salty,bisque salty,1
squash,broth,squash broth,1
lasagna,chicken,lasagna chicken,1
lunch,sashimi,lunch sashimi,1
salad,salmon,salad salmon,1
gloriou,pork,gloriou pork,1
bacon,small,bacon small,1
ribeye,filet,ribeye filet,1
guava,cream,guava cream,1
bagel,scrumptiou,bagel scrumptiou,1
fish,pie,fish pie,1
bean,sauce,bean sauce,1
ricottum,broccoli,ricottum broccoli,1
cream,caramelized,cream caramelized,1
crispy,sushi,crispy sushi,1
muffin,toasted,muffin toasted,1
spiced,beef,spiced beef,1
filled,raspberry,filled raspberry,1
vanilla,cheesecake,vanilla cheesecake,1
pork,layered,pork layered,1
hazelnut,creme,hazelnut creme,1
salad,lemon,salad lemon,1
seared,salad,seared salad,1
garbanzo,crispy,garbanzo crispy,1
tortilla,filled,tortilla filled,1
homemade,tortilla,homemade tortilla,1
cracker,coconut,cracker coconut,1
black,berry,black berry,1
corn,coleslaw,corn coleslaw,1
banana,pudding,banana pudding,1
meringue,tart,meringue tart,1
sausage,caramelized,sausage caramelized,1
combo,bowl,combo bowl,1
sauce,marinated,sauce marinated,1
roll,bean,roll bean,1
greek,chicken,greek chicken,1
veggie,broth,veggie broth,1
chilled,tomato,chilled tomato,1
coconut,vegan,coconut vegan,1
sashimi,tofu,sashimi tofu,1
tempura,tuna,tempura tuna,1
hamachi,tuna,hamachi tuna,1
caviar,creme,caviar creme,1
boiled,egg,boiled egg,1
lemon,croissant,lemon croissant,1
chorizo,omelette,chorizo omelette,1
mini,doughnut,mini doughnut,1
sweet,egg,sweet egg,1
huge,piece,huge piece,1
mini,cheesecake,mini cheesecake,1
gourmet,pizza,gourmet pizza,1
garlic,bread,garlic bread,1
hot,meat,hot meat,1
fatty,tasty,fatty tasty,1
soup,crab,soup crab,1
fried,bao,fried bao,1
chilled,chicken,chilled chicken,1
sweet,cabbage,sweet cabbage,1
stuffed,pizza,stuffed pizza,1
beef,yakitori,beef yakitori,1
italian,tiramisu,italian tiramisu,1
shrimp,seafood,shrimp seafood,1
smoked,rib,smoked rib,1
crispy,egg,crispy egg,1
spicy,carrot,spicy carrot,1
oatmeal,bowl,oatmeal bowl,1
sauce,chocolate,sauce chocolate,1
donut,raspberry,donut raspberry,1
roll,pork,roll pork,1
mozzarella,muffin,mozzarella muffin,1
crispy,cod,crispy cod,1
sashimi,ponzu,sashimi ponzu,1
pie,lemon,pie lemon,1
ceviche,cooked,ceviche cooked,1
toast,smoked,toast smoked,1
garlic,soup,garlic soup,1
buffalo,crispy,buffalo crispy,1
tart,raspberry,tart raspberry,1
jalapeno,slaw,jalapeno slaw,1
sauce,calamari,sauce calamari,1
fried,risotto,fried risotto,1
spicy,chorizo,spicy chorizo,1
coconut,jam,coconut jam,1
meatball,salami,meatball salami,1
roll,rice,roll rice,1
fish,tempura,fish tempura,1
soup,lobster,soup lobster,1
bang,chicken,bang chicken,1
breaded,chicken,breaded chicken,1
bowl,strawberry,bowl strawberry,1
chocolate,fudge,chocolate fudge,1
bulgogi,kimchi,bulgogi kimchi,1
charred,apple,charred apple,1
mango,yogurt,mango yogurt,1
mousse,cherry,mousse cherry,1
mocha,cake,mocha cake,1
strawberry,salsa,strawberry salsa,1
coffee,flan,coffee flan,1
sweet,lemon,sweet lemon,1
breast,chicken,breast chicken,1
tiramisu,coffee,tiramisu coffee,1
salad,mixed,salad mixed,1
cheese,waffle,cheese waffle,1
arugula,beer,arugula beer,1
marinated,pig,marinated pig,1
lettuce,marinated,lettuce marinated,1
hamburger,cheese,hamburger cheese,1
pork,caramelized,pork caramelized,1
horseradish,crema,horseradish crema,1
fetum,chorizo,fetum chorizo,1
italian,seafood,italian seafood,1
hawaiian,burger,hawaiian burger,1
shrimp,cocktail,shrimp cocktail,1
sugar,cookie,sugar cookie,1
strawberry,cupcake,strawberry cupcake,1
filet,grilled,filet grilled,1
cornbread,muffin,cornbread muffin,1
butter,custard,butter custard,1
sauteed,garlic,sauteed garlic,1
roasted,lamb,roasted lamb,1
ranch,sauce,ranch sauce,1
wrapped,roll,wrapped roll,1
margheritum,pie,margheritum pie,1
lamb,olive,lamb olive,1
caramel,crunch,caramel crunch,1
special,avocado,special avocado,1
sundae,chocolate,sundae chocolate,1
ham,smoked,ham smoked,1
steak,trout,steak trout,1
miso,marinated,miso marinated,1
carrot,dish,carrot dish,1
oreo,crepe,oreo crepe,1
cheese,crisp,cheese crisp,1
gravy,garlic,gravy garlic,1
chicken,filling,chicken filling,1
ginger,salad,ginger salad,1
bibimbap,chicken,bibimbap chicken,1
vegetable,salad,vegetable salad,1
cod,grilled,cod grilled,1
beef,fry,beef fry,1
beef,steak,beef steak,1
italian,pizza,italian pizza,1
lime,cake,lime cake,1
apple,tart,apple tart,1
mango,dessert,mango dessert,1
lamb,steak,lamb steak,1
seafood,grilled,seafood grilled,1
lamb,leg,lamb leg,1
topping,cake,topping cake,1
pork,bun,pork bun,1
marinated,kalbi,marinated kalbi,1
stuffed,steak,stuffed steak,1
dumpling,pork,dumpling pork,1
jam,sweet,jam sweet,1
custard,cake,custard cake,1
mango,snow,mango snow,1
lamb,bowl,lamb bowl,1
squash,creamy,squash creamy,1
smoked,tuna,smoked tuna,1
chicken,cooked,chicken cooked,1
bomb,heart,bomb heart,1
dessert,mango,dessert mango,1
caramelized,chocolate,caramelized chocolate,1
asada,cheese,asada cheese,1
tuna,cheeseburger,tuna cheeseburger,1
broth,beef,broth beef,1
orange,sour,orange sour,1
bun,butter,bun butter,1
wing,beef,wing beef,1
chicken,fried,chicken fried,1
yummy,chocolate,yummy chocolate,1
strawberry,couli,strawberry couli,1
cream,cheese,cream cheese,1
cheese,pastor,cheese pastor,1
bun,bread,bun bread,1
nacho,sweet,nacho sweet,1
meat,lamb,meat lamb,1
chorizo,potato,chorizo potato,1
cream,clockwise,cream clockwise,1
porchettum,herb,porchettum herb,1
sauce,garden,sauce garden,1
burratum,ricottum,burratum ricottum,1
lemongrass,pork,lemongrass pork,1
mango,passion,mango passion,1
chile,queso,chile queso,1
cheese,molass,cheese molass,1
dessert,traditional,dessert traditional,1
burger,pastor,burger pastor,1
house,spicy,house spicy,1
cream,macaron,cream macaron,0
enchilada,plate,enchilada plate,0
chocolate,panna,chocolate panna,1
spicy,chip,spicy chip,0
deliciou,special,deliciou special,0
belly,vegan,belly vegan,0
double,crunch,double crunch,0
tofu,pad,tofu pad,0
fried,curry,fried curry,0
turkey,pulled,turkey pulled,0
soi,noodle,soi noodle,1
avocado,guacamole,avocado guacamole,0
super,crispy,super crispy,0
chocolate,box,chocolate box,0
donut,vanilla,donut vanilla,0
mozzarella,crepe,mozzarella crepe,0
friend,love,friend love,0
water,kimchi,water kimchi,0
ball,fruity,ball fruity,0
cup,cupcake,cup cupcake,0
lemongrass,cilantro,lemongrass cilantro,0
chef,little,chef little,0
sashimi,cooked,sashimi cooked,0
crab,cream,crab cream,1
ham,bread,ham bread,0
vegan,bird,vegan bird,0
spiced,crispy,spiced crispy,0
rib,cooked,rib cooked,0
seared,black,seared black,0
steakhouse,american,steakhouse american,0
mild,dark,mild dark,0
flavorful,filling,flavorful filling,0
soup,spicy,soup spicy,0
curd,dumpling,curd dumpling,0
toast,home,toast home,0
free,order,free order,0
steak,bacon,steak bacon,0
classic,brown,classic brown,0
chip,pancake,chip pancake,0
french,apple,french apple,0
tea,soft,tea soft,0
bulgogi,roll,bulgogi roll,0
rolled,onion,rolled onion,1
jalapeno,raman,jalapeno raman,0
fresh,bread,fresh bread,0
pancake,beef,pancake beef,0
soft,fish,soft fish,0
bibimbap,tofu,bibimbap tofu,0
compote,sauce,compote sauce,1
spinach,braised,spinach braised,0
apple,jam,apple jam,0
kalbi,short,kalbi short,0
entree,plate,entree plate,0
bacon,roe,bacon roe,0
caramel,latte,caramel latte,0
clam,sashimi,clam sashimi,0
burger,chipotle,burger chipotle,1
char,deliciou,char deliciou,0
dish,korean,dish korean,0
creamy,mochi,creamy mochi,0
dumpling,yogurt,dumpling yogurt,0
grilled,chimichurri,grilled chimichurri,0
cheese,pepper,cheese pepper,0
pesto,roasted,pesto roasted,0
juice,candied,juice candied,0
chorizo,egg,chorizo egg,0
cheeseburger,burger,cheeseburger burger,0
egg,fungu,egg fungu,0
lemon,juice,lemon juice,0
grilled,white,grilled white,0
rice,bao,rice bao,0
topped,golden,topped golden,0
pulled,ham,pulled ham,0
tomato,provolone,tomato provolone,0
mousse,pie,mousse pie,0
lunch,roll,lunch roll,0
compote,cheesy,compote cheesy,0
happy,karaage,happy karaage,0
steak,risotto,steak risotto,0
meat,set,meat set,0
corn,queso,corn queso,0
rice,milk,rice milk,1
salmon,food,salmon food,0
perfect,crunch,perfect crunch,0
roll,pea,roll pea,0
leg,steak,leg steak,0
house,cashew,house cashew,0
